Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
"Cherry Wine","Grentperez","Cherry Wine","favs","Playlist","GBKPL2162171","1878153277"
"Call of the Grito","That Mexican OT","Call of the Grito","favs","Playlist","QZES52133319","1912986387"
"See You Again (feat. Kali Uchis)","Tyler, The Creator","Flower Boy","favs","Playlist","USQX91701275","384157591"
"Good Looking","Suki Waterhouse","Good Looking","favs","Playlist","QZ9Y21712533","1747247357"
"Good News","Mac Miller","Good News","favs","Playlist","USWB11801008","846978292"
"Not A Beanie","Connor Price","Not A Beanie","favs","Playlist","QZES62311649","2171834327"
"Idemo do hodnika","Buč Kesidi","Euforija","favs","Playlist","RSA1X1900208","2042455247"
"Renee","Sales","Renee","favs","Playlist","TCABU1478783","76033740"
"Stargazing","The Neighbourhood","Chip Chrome & The Mono-Tones (Deluxe)","favs","Playlist","USSM12006844","1168839002"
"Christmas Kids","Roar","I Can't Handle Change","favs","Playlist","USHM81020599","6907737"
"Too Much To Ask","Arctic Monkeys","Fluorescent Adolescent","favs","Playlist","GBCEL0700381","4637209"
"Ako Nisi Naš Ker","BIGru i Paja Kratak","Rep Kaki Volem","favs","Playlist","NOAPI1890682","583824432"
"Perfect Sense","Arctic Monkeys","The Car","favs","Playlist","GBCEL2200521","1953333177"
"Human Sadness","The Voidz","Tyranny","favs","Playlist","QMKBG1400032","750619562"
"The Lamp Is Low","Laurindo Almeida","Classical Current","favs","Playlist","USWB12302102","2275673137"
"Jump","Mac Miller","GO:OD AM","favs","Playlist","USWB11508651","107425692"
"Limun","Rasta","Limun","favs","Playlist","RSA221820197","1402339862"
"Brain Damage (2011 Remastered Version)","Pink Floyd","The Dark Side Of The Moon (2011 Remastered Version)","favs","Playlist","GBN9Y1100140","477944222"
"Small Worlds","Mac Miller","Swimming","favs","Playlist","USWB11801087","533802052"
"Oreoli","Pablo Kenedi","Trap je mrtav","favs","Playlist","QM4TW1936661","619185172"
"Lokacija","Biba","422","favs","Playlist","RSA3U2200089","1735801717"
"Amoeba","Clairo","Sling","favs","Playlist","USUG12101891","1433049092"
"Banquet","Bloc Party","Silent Alarm","favs","Playlist","GBDNH0400385","98316894"
"Lovefool","The Cardigans","Best Of","favs","Playlist","SEBKB9629380","910474"
